№ п/п,Категория,Дополнительные теги,Вопрос Исходник,Формальный,Unnamed: 5,Unnamed: 6,Неформальный,Unnamed: 8,Unnamed: 9,С сокращениями,Unnamed: 11,Unnamed: 12,Краткий ответ,Наименование ссылки на развернутый ответ (при необходимости),Развернутый ответ (при необходимости)
41.0,Коллективный договор,информация о компании,Где посмотреть коллективный договор нашей компании?,,Где могу ознакомиться с коллективным договором?,,где узнать про кол договор,,,ссылка на кол договор,кол договор компании,текст кол договора,"Получить подробную информацию о льготах и гарантиях, предоставляемых Коллективным договором, работник может:
- у специалистов по управлению персоналом;
- в профсоюзной организации;
- на Сервисном портале работника;
- в блогах на Сервисном портале работника («Трансформация социальной сферы», «Социальная защита», «Окно в мир жилищной политики ОАО «РЖД», «Волонтеры РЖД»).

Также в ОАО «РЖД» разработан Путеводитель по льготам с пошаговым алгоритмом их предоставления",Подробнее о Путеводителе,"Это приложение к коллективному договору, которое разъясняет предоставление льгот в простом и доступном формате с пошаговым алгоритмом. 
Путеводитель структурирован в пакетные предложения под жизненные ситуации работника и включает в себя 11 тематических блоков:
1. Бесплатный проезд.
2. Отпуск. 
3. Здоровье.
4. Досуг.
5. Семья (семейное благополучие).
6. Компенсируемый социальный пакет. Бонусный пакет.
7. Молодежь.
8. Комфортные условия
9. Перед выходом на пенсию.
10. Корпоративное волонтерство.
11. Здоровый образ жизни."
42.0,Молодежная политика,целевая программа,Что такое молодежная политика?,Что включает в себя молодежная политика РЖД?,,Что подразумевает молодежная политика ОАО «РЖД»,для чего молодежная политика РЖД,,расскажи о молодежной политике РЖД,Мол политика РЖД ,,,"Молодежная политика ОАО «РЖД» - это комплексная система для создания условий по развитию молодых работников, их профессионального и личностного развития, а также творческой самореализации. 

Основополагающим документом по реализации молодежной политики является Целевая программа «Молодежь ОАО «РЖД», в которой ты сможешь узнать более подробно об основных направлениях работы с молодежью.

Узнать детальную информацию о проводимых молодежных мероприятиях можно на Сервисном портале в разделе ""Молодежь РЖД"", а также в социальных сетях ""Молодежь РЖД"":
Телеграм: https://t.me/molodezrzd
ВКонтакте: https://vk.com/molodezrzd",,
43.0,Адаптация,"стажировка, стажировка по охране труда на рабочем месте",Где посмотреть документ по стажировке по ОТ?,Порядок прохождения стажировки по ОТ,Как организуется стажировка по ОТ?,,,,,док по стажировке по ОТ,организация стажировки по ОТ,стажировка по ОТ какие доки,"Требования к организации и проведению стажировки по охране труда на рабочем месте работников ОАО «РЖД» содержатся в подразделе 7.4 СТО РЖД 15.011-2023 «Система управления охраной труда в ОАО «РЖД». Организация обучения», утвержденным распоряжением ОАО «РЖД» от 17 апреля 2023 г. № 947/р.                                                                                      ",Привести цитаты из указанного документа?,"Основные (общие) требования к организации и проведению стажировки по охране труда на рабочем месте работников ОАО «РЖД» содержатся в подразделе 7.4 СТО РЖД 15.011-2023 «Система управления охраной труда в ОАО «РЖД». Организация обучения», утвержденного распоряжением ОАО «РЖД» от 17 апреля 2023 г. № 947/р
В соответствии с п. 7.4.4: «Отдельные требования к порядку проведения стажировки на рабочем месте, к руководителям стажировки, а также к продолжительности и месту ее проведения устанавливают распорядительным документом филиала ОАО «РЖД» или его структурного подразделения, с учетом мнения выборного органа первичной профсоюзной организации.»
"
44.0,Заработная плата,сверхурочная работа,Как оплачивается работа в выходные и праздничные дни?,,,,оплата переработок,мне оплатят переработку?,Как оплачивается работа в выходной?,работа в выходные,переработка ,работа в праздничные,"Работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. По желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). Порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

Сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. По желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. Порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником.",Рассказать подробнее,"Согласно ст. 113 ТК РФ привлечение работников к работе в выходные и нерабочие праздничные дни производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

Работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к работе в выходные и нерабочие праздничные дни;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к работе в выходные и нерабочие праздничные дни и знакомит работника с ним под роспись.

Получение согласия работников, являющихся участниками электронного документооборота в сфере трудовых отношений в ОАО «РЖД», а также ознакомление их с приказом о привлечении к работе в выходные и нерабочие праздничные дни осуществляется посредством Сервисного портала работника, руководителя и неработающего пенсионера ОАО «РЖД».

Согласно ст. 153 ТК РФ работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. По желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). Порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

Согласно ст. 99 ТК РФ привлечение работников к сверхурочной работе производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

Работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к сверхурочной работе;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к сверхурочной работе и знакомит работника с ним под роспись.

Продолжительность сверхурочной работы не должна превышать для каждого работника 4 часов в течение двух дней подряд и 120 часов в год.

Согласно ст. 152 ТК РФ сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. По желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. Порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником."
45.0,Заработная плата,сверхурочная работа,Что делать если не оплачивают сверхурочную работу?,Как оплачивается сверхурочная работа,,,Как оплачивается сверхурочная?,Какие оплаты предусмотрены за работу сверх нормального рабочего времени?,Как происходит оплата за сверхурочную работу?,оплата сверхурочки,сверхурочка,Как высчитывается сверхурочная работа?,"Работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. По желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). Порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

Сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. По желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. Порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником.",Подробнее,"Согласно ст. 113 ТК РФ привлечение работников к работе в выходные и нерабочие праздничные дни производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

Работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к работе в выходные и нерабочие праздничные дни;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к работе в выходные и нерабочие праздничные дни и знакомит работника с ним под роспись.

Получение согласия работников, являющихся участниками электронного документооборота в сфере трудовых отношений в ОАО «РЖД», а также ознакомление их с приказом о привлечении к работе в выходные и нерабочие праздничные дни осуществляется посредством Сервисного портала работника, руководителя и неработающего пенсионера ОАО «РЖД».

Согласно ст. 153 ТК РФ работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере. По желанию работника ему может быть предоставлен другой день отдыха (при этом работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит). Порядок компенсации за работу в выходные и нерабочие праздничные дни не зависит от должности, занимаемой работником.

Согласно ст. 99 ТК РФ привлечение работников к сверхурочной работе производится с их письменного согласия (кроме случаев, установленных действующим законодательством).

Работодатель в обязательном порядке (до момента привлечения):
получает письменное согласие работника на привлечение к сверхурочной работе;
получает мотивированное мнение выборного органа первичной профсоюзной организации;
издает приказ о привлечении к сверхурочной работе и знакомит работника с ним под роспись.

Продолжительность сверхурочной работы не должна превышать для каждого работника 4 часов в течение двух дней подряд и 120 часов в год.

Согласно ст. 152 ТК РФ сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. По желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно. Порядок компенсации за сверхурочную работу не зависит от должности, занимаемой работником."
46.0,Оплата труда,Начисление заработной платы,Почему работникам с суммированным учетом рабочего времени не оплачивается в двойном размере работа в субботу-воскресенье?,,,,Возможна ли оплата в двойном размере за субботу и воскресенье?,,Как производиться оплата в двойном размере если работник отработал субботу и воскресенье?,оплата в двойном,оплата в выходные дни,Оплат в двойном размере в субботу и воскресенье?,"В соответствии со статьей 111 ТК РФ у работодателей, приостановка работы у которых в выходные дни (суббота-воскресенье) невозможна по производственно-техническим и организационным условиям, выходные дни предоставляются в различные дни недели поочередно каждой группе работников согласно правилам внутреннего трудового распорядка.",Подробнее,"В соответствии со статьей 111 ТК РФ у работодателей, приостановка работы у которых в выходные дни (суббота-воскресенье) невозможна по производственно-техническим и организационным условиям, выходные дни предоставляются в различные дни недели поочередно каждой группе работников согласно правилам внутреннего трудового распорядка. Если такой работник будет привлечен к работе в выходной день, установленный ему правилами внутреннего трудового распорядка и графиком сменности, то этот день будет оплачен в двойном размере, либо по желанию работника, работавшего в выходной или нерабочий праздничный день, ему может быть предоставлен другой день отдыха. В этом случае работа в выходной день оплачивается в одинарном размере, работа в нерабочий праздничный оплачивается в двойном размере, а день отдыха оплате не подлежит."
47.0,Организация труда,Заработная плата,Где получить расчетный лист?,,,,Как получить отчет по заработной плате?,Как загрузить расчетный лист и где его взять ?,Где могу посмотреть расчет заработной платы?,Расчетка,где расчетный лист?,где смотреть зп?,"При выплате заработной платы работодатель обязан извещать работника расчетным листком (в письменной форме или при согласии работника в электронной форме посредством Сервисного портала работника).

При выплате заработной платы работодатель обязан извещать работника расчетным листком (в письменной форме или при согласии работника в электронной форме посредством Сервисного портала работника).",,
48.0,Заработная плата,индексация,Как часто индексируется зарплата?,,,,Какая частота индексации заработной платы?,Нам какой период устанавливается индексация заработной платы в компании?,Сколько раз в год индексируется заработная плата?,индексация,как часто индексируют з/п?,Частота индексации зарплаты?,Для повышения реальных доходов работников ОАО «РЖД»  заработная плата индексируется не реже двух раз в год в связи с прогнозируемым Министерством экономического развития Российской Федерации ростом потребительских цен на товары и услуги.,,
49.0,Заработная плата,индексация,Какой процент индексации ожидается в 2024 году?,,,,Какой процент индексации ожидать в 2024 г?,Прогноз индексации на период 2024 г.?,Сколько раз в 2024 г индексируется заработная плата?,,процент индексации на 2024 г?,Частота индексации зарплаты в 2024?,"Для повышения реальных доходов работников ОАО «РЖД»  заработная плата индексируется не реже двух раз в год в связи с прогнозируемым Министерством экономического развития Российской Федерации ростом потребительских цен на товары и услуги.
С 1 февраля 2024 года заработная плата работников компании проиндексирована на 4%, в том числе опережающим темпом на 1,8%.  ",,
50.0,Заработная плата,"индексация, Коллективный договор, заработная плата",Как получить больше денег?,Каким образом я могу увеличить мой доход в компании?,,,как повысить свою зп,есть ли доп возможность для заработка в компании?,как получать в компании больше,способы увеличить зп,,,"Заработная плата работников компании формируется из следующих составных частей: тарифная ставка (должностной оклад); выплаты компенсационного характера; выплаты стимулирующего характера; премии согласно Положению о премировании филиала, структурного подразделения филиала или структурного подразделения ОАО «РЖД».
Каждому работнику компании при наличии соответствующего уровня образования предоставляется возможность реализовать свой профессиональный потенциал, и, соответственно, повысить уровень своей заработной платы. 
Кроме того, на Сервисном портале работника ОАО «РЖД» есть возможность смоделировать свой доход в разделе ""Мой доход - Мой возможный доход"", исходя из утвержденной в Компании системы оплаты труда.",,
51.0,Заработная плата,отпуск,Сумма отпускных,Как рассчитывается сумма отпускных?,,,Как определить размер отпускных?,Из чего складываются мои отпускные?,,оплата отпуска,расчет отпускных,сумма отпускных,"Дни отпуска работникам рассчитываются по среднему дневному заработку.

Оплата отпуска производится не позднее чем за три дня до его начала. Отпускные работникам считают по среднему дневному заработку. При расчете нужно руководствоваться:
- статьей 139 Трудового кодекса;
- особенностями порядка исчисления средней заработной платы, утвержденными Постановлением Правительства РФ от 24.12.2007 N 922.
",,
52.0,Заработная плата,преданность,"Что такое ""преданность""?",Кому положена преданность?,,,Выплаты за стаж работы в компании,Расскажи про преданность?,Для кого преданность?,преданность,выслуга,,"В ОАО «РЖД» за непрерывную продолжительную работу в компании выплачивается единовременное вознаграждение за преданность компании.
",Подробнее о размерах единовременного вознаграждения,"В ОАО «РЖД» за непрерывную продолжительную работу в компании выплачивается единовременное вознаграждение за преданность компании. Вознаграждение выплачивается в следующих размерах:
- 2 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 3 года;
- 3 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 5 лет;
- 4 месячные тарифные ставки (должностных оклада) - 
при непрерывной продолжительности работы 10 лет;
- 5 месячных тарифных ставок (должностных оклада) - 
при непрерывной продолжительности работы 15 лет и далее через каждые 5 лет непрерывной работы.
"
53.0,Оплата труда,Начисление заработной платы,Кому выплачиваются компенсации за разъездной характер работы?,"Мне положены суточные, если направляют в командировку?",,Кому выплачиваются суточные?,"Перечень профессий и должностей работников, которым выплачиваются суточные",,кому положены суточные,"категории работников, кому выплачиваются суточные",,,"В соответствии Положением о возмещении расходов, связанных 
со служебными поездками работников филиалов ОАО «РЖД», постоянная работа которых осуществляется в пути следования железнодорожного подвижного состава или имеет разъездной характер, утвержденным распоряжением № 2343р от 31 октября 2011 г., устанавливаются компенсационные выплаты (суточные) для возмещения дополнительных расходов, связанных с проживанием вне места постоянного жительства, и расходов на питание в служебных поездках следующим работникам: 
- постоянная работа, которых осуществляется в пути следования железнодорожного подвижного состава (это обслуживание вагонов, поездов, рефсекций, а также локомотивные бригады);
- постоянная работа которых имеет разъездной характер, 
т.е. выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора; 
- или выполняющим работы на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства.
Перечень профессий и должностей работников, которым выплачиваются суточные, устанавливает руководитель филиала ОАО «РЖД» с учётом мнения профсоюза. 

",Подробнее,"Суточные выплачиваются:
- за каждые сутки нахождения в поездке при выполнении работы в пути следования железнодорожного состава, при этом время в поездке 12 и более часов, но менее полных суток, учитывается как одни сутки; 
- за каждую поездку туда и обратно продолжительностью не менее
7 часов работникам локомотивных бригад при работе с пассажирскими поездами;
- за каждую поездку туда и обратно работникам локомотивных бригад при работе с грузовыми (кроме передаточных и вывозных) и пригородных поездами:
- продолжительностью не менее 7 часов - в одинарном размере;
- продолжительностью не менее 12 часов при работе не менее чем
на 3 участках обслуживания локомотивных бригад с предоставлением второго отдыха в пункте оборота (подмены) - в двойном размере. 
Работающим на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства, суточные выплачиваются за каждые сутки нахождения на таких объектах.
Выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора суточные выплачиваются за каждую поездку, если проезд от места расположения структурного подразделения или постоянного пункта сбора до места выполнения работы и обратно осуществляется в нерабочее время и превышает два часа. Если проезд к месту работы и обратно осуществляется в рабочее время, в пределах графика, либо служебные поездки совершаются 
в пределах железнодорожного узла или станции, суточные за такую поездку не выплачиваются.
Размер суточных с 1 февраля 2024 г. составляет 309,05 руб., индексируется одновременно с заработной платой."
54.0,Оплата труда,Начисление заработной платы,В каком размере выплачиваются компенсации за разъездной характер работы?,,,Что мне оплатят в командировке?,Оплачивают ли расходы на питание в командировке?,От чего зависит размер суточных?,Сколько выделяют на проживание в командировке?,размер суточных,,,"В соответствии Положением о возмещении расходов, связанных 
со служебными поездками работников филиалов ОАО «РЖД», постоянная работа которых осуществляется в пути следования железнодорожного подвижного состава или имеет разъездной характер, утвержденным распоряжением № 2343р от 31 октября 2011 г., устанавливаются компенсационные выплаты (суточные) для возмещения дополнительных расходов, связанных с проживанием вне места постоянного жительства, и расходов на питание в служебных поездках в размере 322 руб. ( с 1 марта 2024 г), индексируется одновременно с заработной платой.",Подробнее,"Перечень профессий и должностей работников, которым выплачиваются суточные, устанавливает руководитель филиала ОАО «РЖД» с учётом мнения профсоюза. 

Суточные выплачиваются:
- за каждые сутки нахождения в поездке при выполнении работы в пути следования железнодорожного состава, при этом время в поездке 12 и более часов, но менее полных суток, учитывается как одни сутки; 
- за каждую поездку туда и обратно продолжительностью не менее
7 часов работникам локомотивных бригад при работе с пассажирскими поездами;
- за каждую поездку туда и обратно работникам локомотивных бригад при работе с грузовыми (кроме передаточных и вывозных) и пригородных поездами:
- продолжительностью не менее 7 часов - в одинарном размере;
- продолжительностью не менее 12 часов при работе не менее чем
на 3 участках обслуживания локомотивных бригад с предоставлением второго отдыха в пункте оборота (подмены) - в двойном размере. 
Работающим на отдаленных объектах, когда нет возможности ежедневно возвращаться к месту жительства, суточные выплачиваются за каждые сутки нахождения на таких объектах.
Выполняющим работу на линии вне места расположения структурного подразделения или постоянного пункта сбора суточные выплачиваются за каждую поездку, если проезд от места расположения структурного подразделения или постоянного пункта сбора до места выполнения работы и обратно осуществляется в нерабочее время и превышает два часа. Если проезд к месту работы и обратно осуществляется в рабочее время, в пределах графика, либо служебные поездки совершаются 
в пределах железнодорожного узла или станции, суточные за такую поездку не выплачиваются.
Размер суточных с 1 марта 2024 г. составляет 322 руб., индексируется одновременно с заработной платой."
55.0,Оплата труда,Оплата Сверхурочной работы,Как оплачивается работа по графику в нерабочий праздничный день?,"Сколько заплатят, если работаю в праздник?",,правила оплаты работы по официальным праздникам,размер оплаты в праздник,порядок оплаты за работу в выходной,оплата за работу в праздник,,,,"Согласно Положению о корпоративной системе оплаты труда работников филиалов и структурных подразделений ОАО «РЖД» работа в нерабочий праздничный день, предусмотренный графиком работника, оплачивается в двойном размере: сдельщикам - по двойным сдельным расценкам; работникам, труд которых оплачивается по часовым тарифным ставкам, - в размере двойной часовой тарифной ставки; работникам, получающим оклад, - в размере одинарной доли оклада за час работы сверх оклада. ",,
56.0,Оплата труда,Начисление заработной платы,Учитываются ли районные коэффициенты при начислении заработной платы работников ОАО «РЖД»?,Какие районные коэффициенты применяются в компании?,,Применяются ли в компании районные коэффициенты при расчете заработной платы?,,Влияют ли районные коэффициенты на размер оплаты?,Применение районных коэффициентов для зп в компании,размер районных коэффициентов в компании,,,"К заработной плате работников ОАО «РЖД» в обязательном порядке применяются районные коэффициенты, установленные федеральным законодательством (статьи 315, 316 и 317 ТК РФ). 
Согласно пункту 6.4 Положения о корпоративной системе оплаты труда работников филиалов и структурных подразделений ОАО «РЖД» в тех регионах расположения железных дорог, в которых субъектами РФ установлены повышенные по сравнению с установленными Правительством Российской Федерации размеры районных коэффициентов, - к заработной плате работников железных дорог могут применяться более высокие размеры районных коэффициентов. 
Решение о применении повышенных районных коэффициентов, установленных субъектами РФ, принимается начальником железной дороги. Если применение повышенных районных коэффициентов, установленных субъектами РФ, предусмотрено нормативным документом железной дороги, руководителем филиала ОАО «РЖД» устанавливаются аналогичные размеры районных коэффициентов для работников подразделений филиала, осуществляющих свою деятельность в границах соответствующей железной дороги.
",,
57.0,Оплата труда,Начисление заработной платы,Кому положена доплата за вредные условия труда?,Кому в компании компенсируют работу при вредных условиях работы?,,Как учитываются вредные условия работы при оплате труда?,На кого распространяются компенсации за вредные условия труда?,В каких случаях работникам выплачивают компенсацию за вредные условия труда,,если работаю во вредных условиях труда доплатят?,,,"По условиям труда рабочие места делятся на четыре класса: первый – это оптимальные, второй - допустимые, третий класс - вредные и четвёртый класс - опасные условия труда. Уровень вреда и опасности определяется по результатам специальной оценки условий труда. Работодатель обязан ознакомить сотрудника с результатом проведённой на его рабочем месте специальной оценки условий труда. В карте специальной оценки есть графа, где работник должен поставить свою подпись. В компании компенсации в виде доплат, дополнительного оплачиваемого отпуска и сокращённого рабочего дня предоставляются работникам, начиная с третьего класса условий труда.
Доплата за вредные условия труда устанавливается, начиная с класса 3.1, дополнительный отпуск – с класса 3.2 и сокращённый рабочий день с класса 3.3.
Виды и размеры компенсаций работникам, занятым на работах с вредными условиями труда, указываются в трудовом договоре и Правилах внутреннего трудового распорядка структурного подразделения.",Показать размер доплат,"По результатам специальной оценки условий труда в соответствии с установленным в ОАО «РЖД» порядком работникам устанавливаются доплаты в размере:
- 4% тарифной ставки (должностного оклада) – при вредных условиях труда 1 и 2 степени (класс 3.1 и 3.2);
- 6% при вредных условиях труда 3 степени (класс 3.3);
- 10% при вредных условиях труда 4 степени (класс 3.4); 
- 12% при опасных условиях труда (класс 4)."
